valid_start,value,lat,long,ele
1462032000,20.6,-23.4169,119.7989,524.0
1462035600,22.1,-23.4169,119.7989,524.0
1462039200,22.0,-23.4169,119.7989,524.0
1462042800,21.3,-23.4169,119.7989,524.0
1462046400,21.4,-23.4169,119.7989,524.0
1462050000,20.4,-23.4169,119.7989,524.0
1462053600,20.4,-23.4169,119.7989,524.0
1462057200,20.7,-23.4169,119.7989,524.0
1462060800,22.8,-23.4169,119.7989,524.0
1462064400,25.3,-23.4169,119.7989,524.0
1462068000,27.5,-23.4169,119.7989,524.0
1462071600,28.9,-23.4169,119.7989,524.0
1462075200,29.8,-23.4169,119.7989,524.0
1462078800,30.9,-23.4169,119.7989,524.0
1462082400,31.5,-23.4169,119.7989,524.0
1462086000,31.7,-23.4169,119.7989,524.0
1462089600,31.7,-23.4169,119.7989,524.0
1462093200,31.0,-23.4169,119.7989,524.0
1462096800,30.2,-23.4169,119.7989,524.0
1462100400,23.9,-23.4169,119.7989,524.0
1462104000,24.6,-23.4169,119.7989,524.0
1462107600,24.0,-23.4169,119.7989,524.0
1462111200,23.3,-23.4169,119.7989,524.0
1462114800,22.8,-23.4169,119.7989,524.0
1462032000,13.7,-31.9192,115.8728,24.9
1462035600,13.6,-31.9192,115.8728,24.9
1462039200,13.4,-31.9192,115.8728,24.9
1462042800,13.3,-31.9192,115.8728,24.9
1462046400,13.2,-31.9192,115.8728,24.9
1462050000,12.9,-31.9192,115.8728,24.9
1462053600,12.9,-31.9192,115.8728,24.9
1462057200,13.2,-31.9192,115.8728,24.9
1462060800,14.1,-31.9192,115.8728,24.9
1462064400,15.4,-31.9192,115.8728,24.9
1462068000,17.3,-31.9192,115.8728,24.9
1462071600,18.0,-31.9192,115.8728,24.9
1462075200,18.3,-31.9192,115.8728,24.9
1462078800,18.6,-31.9192,115.8728,24.9
1462082400,18.8,-31.9192,115.8728,24.9
1462086000,18.8,-31.9192,115.8728,24.9
1462089600,17.7,-31.9192,115.8728,24.9
1462093200,16.9,-31.9192,115.8728,24.9
1462096800,16.6,-31.9192,115.8728,24.9
1462100400,15.1,-31.9192,115.8728,24.9
1462104000,15.7,-31.9192,115.8728,24.9
1462107600,15.7,-31.9192,115.8728,24.9
1462111200,14.6,-31.9192,115.8728,24.9
1462114800,14.5,-31.9192,115.8728,24.9
1462024800,27.6,-12.4239,130.8925,30.4
1462028400,27.7,-12.4239,130.8925,30.4
1462032000,28.4,-12.4239,130.8925,30.4
1462035600,24.3,-12.4239,130.8925,30.4
